2024-07-23T16:24:27.040313Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210790,"p":"3474.36","q":"5.757","X":"MARKET","m":false}}
2024-07-23T16:24:27.040345Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210791,"p":"3474.37","q":"2.500","X":"MARKET","m":false}}
2024-07-23T16:24:27.040376Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210792,"p":"3474.37","q":"1.400","X":"MARKET","m":false}}
2024-07-23T16:24:27.040408Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210793,"p":"3474.37","q":"1.200","X":"MARKET","m":false}}
2024-07-23T16:24:27.040440Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210794,"p":"3474.37","q":"2.200","X":"MARKET","m":false}}
2024-07-23T16:24:27.040472Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210795,"p":"3474.37","q":"0.201","X":"MARKET","m":false}}
2024-07-23T16:24:27.040503Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210796,"p":"3474.38","q":"0.877","X":"MARKET","m":false}}
2024-07-23T16:24:27.040535Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210797,"p":"3474.38","q":"4.800","X":"MARKET","m":false}}
2024-07-23T16:24:27.040567Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210798,"p":"3474.39","q":"0.009","X":"MARKET","m":false}}
2024-07-23T16:24:27.040598Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067035,"T":1721723067035,"s":"ETHUSDT","t":4229210799,"p":"3474.39","q":"0.100","X":"MARKET","m":false}}
